agent_id;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167
0;D;D;D;D;D;D;D;D;D;D;P;P;P;P;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;P;P;D;D;P;D;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;P;P;P;P;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;P;D;P;P;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;P;P;P;D;P;D;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;D;D;D;P;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;P;D;D;D;P;D;D;D;D;D;D;D
165;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;D;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;P;D;D;D;D;D;D;D;D
121;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;D;P;D;D;D;D;D;D;D
831;D;D;D;D;D;D;D;D;W;W;W;W;W;W;N;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;N;D;R;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;W;D;R;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;N;N;D;N;D;R;R;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;N;W;D;D;P;R;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;D;W;D;P;R;D;D;D;D;D
729;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;W;D;N;D;R;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;W;R;P;D;P;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;N;D;W;R;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;N;D;N;D;P;R;R;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;W;N;N;R;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;R;N;D;R;R;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;P;D;R;D;D;D;D;D;D;D;D
1;D;D;D;D;D;D;D;D;P;D;D;D;P;P;P;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;D;D;P;D;D;D;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;P;D;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;D;P;D;D;D;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;P;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;P;D;D;D;P;P;P;D;P;D;D;D;D;D;D;D
70;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;P;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;P;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;D;D;D;D;D;D;D;D;D
203;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;D;P;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;P;D;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;P;W;D;D;D;P;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;P;D;D;D;D;D;D;D;D
834;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;D;N;R;R;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;R;N;R;R;R;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;R;N;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;R;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;N;P;N;R;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;R;P;R;R;R;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;N;N;D;P;R;D;D;D;D;D;D
679;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;N;P;D;D;R;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;D;W;P;P;D;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;N;R;D;R;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;W;R;D;R;D;R;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;D;R;R;D;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;W;N;R;D;D;D;D;D;D;D;D;D;D;D;D;W;W;W;W;W;W;W;W;R;R;D;R;D;D;D;D;D;D;D;D;D
